year_month,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02,4.829411764705882,1.7156862745098038,2.230130718954248,-0.20392156862745098,0.4245098039215686
2020-03,-13.137571157495255,1.579696394686907,-11.082958344628175,-18.43168880455408,6.993389184991299
2020-04,-38.65735294117647,-14.377450980392156,-35.40965219421101,-44.43235294117647,16.54185686596416
2020-05,-26.830645161290324,-4.020872865275142,-26.421805819101834,-37.625237191650854,13.470908022554337
2020-06,-14.48421568627451,0.38872549019607844,-17.323529411764707,-31.426470588235293,10.071907313236862
2020-07,-11.339278937381405,1.900853889943074,-16.816888045540797,-33.74478178368121,9.406208311699272
2020-08,-13.034949494949496,-2.3596753246753246,-17.115823620823623,-32.21978438228438,8.826451315568962
2020-09,-13.270540265035677,-4.327646716178826,-19.849984317415508,-31.974427585666117,8.48854323905969
2020-10,-12.749051233396585,-2.5934535104364325,-18.613061353573688,-26.892789373814043,8.061037318153069
2020-11,-16.240686274509805,-4.802450980392157,-23.048529411764704,-29.484313725490196,10.120261437908496
2020-12,-16.68216318785579,-4.037001897533207,-26.898703352308665,-33.296015180265655,12.298387096774194
2021-01,-25.67583807716635,-12.79696394686907,-31.687001897533204,-30.87001897533207,13.039848197343453
2021-02,-24.456582633053223,-11.591386554621849,-33.051995798319325,-30.616596638655462,12.878676470588236
2021-03,-10.71157495256167,-2.805977229601518,-20.52514231499051,-26.340607210626185,8.60436432637571
2021-04,-7.123529411764705,1.6058823529411765,-13.944852941176471,-26.83529411764706,7.254411764705883
2021-05,-5.131878557874763,6.410815939278938,-11.631483238456674,-25.584440227703986,6.19022770398482
2021-06,-3.1799019607843135,7.581862745098039,-8.874183006535947,-25.988235294117647,5.45735294117647
2021-07,-2.6646110056925996,9.070841239721695,-8.126976597090449,-28.395635673624287,5.523244781783681
2021-08,-3.3396584440227706,7.377450980392156,-10.847881087919038,-26.15180265654649,5.553605313092979
2021-09,-5.4450980392156865,4.925490196078432,-14.91764705882353,-25.022549019607844,5.4906862745098035
2021-10,-4.484819734345351,5.318943706514864,-12.240037950664137,-19.85483870967742,4.6233396584440225
2021-11,-6.7441176470588236,4.6459150326797385,-15.365686274509804,-24.74705882352941,6.54264705882353
2021-12,-6.2993358633776095,5.188804554079696,-20.366969368392517,-28.613851992409867,7.829222011385199
2022-01,-23.92552182163188,-7.074003795066414,-32.980279208457574,-28.20493358633776,11.860056925996204
2022-02,-12.11344537815126,-1.7799369747899159,-25.863445378151262,-18.939075630252102,6.569852941176471
2022-03,-11.397058823529411,-2.086812144212524,-24.616698292220114,-17.663187855787477,5.336812144212524
2022-04,-6.9715686274509805,2.9686274509803923,-20.052369281045753,-18.562745098039215,4.003104575163398
2022-05,-5.920777988614801,5.824003795066414,-19.099225173940543,-20.045540796963948,4.186274509803921
2022-06,-5.442156862745098,7.408333333333333,-15.336764705882352,-23.33529411764706,4.166666666666667
2022-07,-7.622390891840607,6.542536369386464,-17.01091081593928,-26.49810246679317,5.667931688804554
2022-08,-5.727703984819734,6.929475015812777,-16.50237191650854,-24.02751423149905,5.856261859582543
2022-09,-7.192156862745098,6.392156862745098,-18.37450980392157,-22.144117647058824,3.975
2022-10,-7.573529411764706,4.65,-18.63137254901961,-19.019607843137255,4.073529411764706
