retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,metro_label,date,sub_region_2
7.0,3.0,0.0,10.0,-1.0,1,2020-02-15,Albemarle County
8.0,-6.0,-7.0,1.0,0.0,1,2020-02-16,Albemarle County
8.0,1.0,0.0,-11.0,2.0,1,2020-02-17,Albemarle County
1.0,1.0,18.0,2.0,-1.0,1,2020-02-18,Albemarle County
0.0,-1.0,1.0,1.0,0.0,1,2020-02-19,Albemarle County
0.0,1.0,-1.0,-2.0,0.0,1,2020-02-20,Albemarle County
5.0,-2.0,2.0,1.0,0.0,1,2020-02-21,Albemarle County
4.0,0.0,11.0,6.0,-2.0,1,2020-02-22,Albemarle County
2.0,-3.0,4.0,1.0,0.0,1,2020-02-23,Albemarle County
-1.0,-4.0,-2.0,0.0,0.0,1,2020-02-24,Albemarle County
2.0,-2.0,7.0,2.0,0.0,1,2020-02-25,Albemarle County
4.0,-2.0,5.0,0.0,0.0,1,2020-02-26,Albemarle County
6.0,1.0,15.0,1.0,-1.0,1,2020-02-27,Albemarle County
6.0,-2.0,11.0,3.0,-1.0,1,2020-02-28,Albemarle County
10.0,8.0,13.0,6.0,-2.0,1,2020-02-29,Albemarle County
8.0,1.0,16.0,2.0,-1.0,1,2020-03-01,Albemarle County
6.0,4.0,1.0,-9.0,1.0,1,2020-03-02,Albemarle County
14.0,14.0,18.0,-9.0,1.0,1,2020-03-03,Albemarle County
9.0,7.0,12.0,1.0,-1.0,1,2020-03-04,Albemarle County
6.0,6.0,3.0,2.0,-1.0,1,2020-03-05,Albemarle County
4.0,1.0,2.0,2.0,0.0,1,2020-03-06,Albemarle County
6.0,5.0,5.0,-1.0,-2.0,1,2020-03-07,Albemarle County
4.0,0.0,3.0,-8.0,-1.0,1,2020-03-08,Albemarle County
5.0,5.0,-2.0,-8.0,0.0,1,2020-03-09,Albemarle County
5.0,8.0,6.0,-5.0,0.0,1,2020-03-10,Albemarle County
6.0,12.0,-3.0,-7.0,0.0,1,2020-03-11,Albemarle County
8.0,34.0,-1.0,-8.0,1.0,1,2020-03-12,Albemarle County
5.0,26.0,-2.0,-12.0,4.0,1,2020-03-13,Albemarle County
-13.0,15.0,3.0,-4.0,4.0,1,2020-03-14,Albemarle County
-20.0,-3.0,-25.0,-18.0,7.5,1,2020-03-15,Albemarle County
-10.0,18.0,-25.0,-31.0,11.0,1,2020-03-16,Albemarle County
-22.0,9.0,-16.0,-38.0,14.0,1,2020-03-17,Albemarle County
-28.0,-5.0,-34.0,-43.0,16.0,1,2020-03-18,Albemarle County
-31.0,2.0,-37.0,-48.0,17.0,1,2020-03-19,Albemarle County
-34.0,-7.0,-36.0,-47.0,19.0,1,2020-03-20,Albemarle County
-45.0,-10.0,-32.0,-31.0,19.666666666666668,1,2020-03-21,Albemarle County
-49.0,-21.0,-56.0,-42.0,20.333333333333332,1,2020-03-22,Albemarle County
-40.0,-18.0,-53.0,-54.0,21.0,1,2020-03-23,Albemarle County
-42.0,-15.0,-34.0,-53.0,20.0,1,2020-03-24,Albemarle County
-44.0,-22.0,-47.0,-57.0,24.0,1,2020-03-25,Albemarle County
-42.0,-18.0,-41.0,-55.0,22.0,1,2020-03-26,Albemarle County
-44.0,-20.0,-49.0,-53.0,23.0,1,2020-03-27,Albemarle County
-50.0,-20.0,-45.0,-37.0,22.0,1,2020-03-28,Albemarle County
-50.0,-30.0,-55.0,-47.0,21.0,1,2020-03-29,Albemarle County
-39.0,-17.0,-51.0,-57.0,20.0,1,2020-03-30,Albemarle County
-46.0,-21.0,-46.0,-57.0,23.0,1,2020-03-31,Albemarle County
-45.0,-18.0,-51.0,-58.0,23.0,1,2020-04-01,Albemarle County
-44.0,-14.0,-53.0,-58.0,23.0,1,2020-04-02,Albemarle County
-45.0,-22.0,-55.0,-56.0,24.0,1,2020-04-03,Albemarle County
-52.0,-20.0,-50.0,-38.0,23.333333333333332,1,2020-04-04,Albemarle County
-53.0,-27.0,-67.0,-48.0,22.666666666666668,1,2020-04-05,Albemarle County
-45.0,-24.0,-55.0,-59.0,22.0,1,2020-04-06,Albemarle County
-43.0,-16.0,-51.0,-59.0,22.0,1,2020-04-07,Albemarle County
-45.0,-20.0,-50.0,-61.0,23.0,1,2020-04-08,Albemarle County
-44.0,-19.0,-53.0,-60.0,23.0,1,2020-04-09,Albemarle County
-45.0,-21.0,-58.0,-59.0,25.0,1,2020-04-10,Albemarle County
-48.0,-18.0,-61.0,-39.0,24.666666666666668,1,2020-04-11,Albemarle County
-68.0,-41.0,-76.0,-52.0,24.333333333333332,1,2020-04-12,Albemarle County
-50.0,-33.0,-62.0,-61.0,24.0,1,2020-04-13,Albemarle County
-46.0,-20.0,-50.0,-58.0,23.0,1,2020-04-14,Albemarle County
-43.0,-20.0,-54.0,-60.0,23.0,1,2020-04-15,Albemarle County
-42.0,-14.0,-55.0,-59.0,23.0,1,2020-04-16,Albemarle County
-45.0,-24.0,-57.0,-56.0,24.0,1,2020-04-17,Albemarle County
-49.0,-17.0,-54.0,-36.0,23.666666666666668,1,2020-04-18,Albemarle County
-52.0,-25.0,-68.0,-47.0,23.333333333333332,1,2020-04-19,Albemarle County
-45.0,-24.0,-57.0,-59.0,23.0,1,2020-04-20,Albemarle County
-42.0,-17.0,-47.0,-58.0,21.0,1,2020-04-21,Albemarle County
-42.0,-18.0,-51.0,-59.0,22.0,1,2020-04-22,Albemarle County
-45.0,-17.0,-58.0,-60.0,24.0,1,2020-04-23,Albemarle County
-46.0,-24.0,-57.0,-58.0,25.0,1,2020-04-24,Albemarle County
-50.0,-20.0,-51.0,-39.0,23.666666666666668,1,2020-04-25,Albemarle County
